Show_Id,Type,Title,Director,Cast,Country,Date_Added,Release_Year,Rating,Duration,Listed_In,Description
S2166,Tv Show,World's Most Wanted,,,United States,"August 5, 2020",2020,Tv-14,1 Season,"Crime Tv Shows, Docuseries, International Tv Shows","Suspected Of Heinous Crimes, They’ve Avoided Capture Despite Massive Rewards And Global Investigations. A Docuseries Profiling The World’s Most Wanted."
S2167,Movie,A Go! Go! Cory Carson Summer Camp,"Stanley Moore, Alex Woo","Alan C. Lim, Smith Foreman, Abigail Vibat, Pfifer Chastain, Jim Capobianco, Neena-Sinaii Simpo, Eli Morse, Adelaide Hirasaki, Paul Killam, Kerry Gudjohnsen, Maisie Benson",,"August 4, 2020",2020,Tv-Y,21 Min,Children & Family Movies,"Cory's Spending The Summer At Camp Friendship With His Best Friend, Freddie. But Jealousy Flares When Freddie Brings His Cousin Rosie Along For The Ride."
S2168,Movie,Malibu Rescue: The Next Wave,Savage Steve Holland,"Ricardo Hurtado, Breanna Yde, Jackie R. Jacobson, Abby Donnelly, Alkoya Brunson, Jeff Meacham, Ella Gross, Carlos Sanson, Jt Neal, Camaron Engels, Kirrilee Berger",United States,"August 4, 2020",2020,Tv-G,71 Min,"Children & Family Movies, Comedies","As Summer Returns To Malibu, Team Flounder Takes To The Beach To Host — And Unexpectedly Compete In — The International Beachmaster Competition."
S2169,Tv Show,Mystery Lab,,"Felipe Castanhari, Lilian Regina, Bruno Miranda, Guilherme Briggs",Brazil,"August 4, 2020",2020,Tv-Pg,1 Season,"Docuseries, International Tv Shows, Science & Nature Tv","Host Felipe Castanhari Explores Science, History, Mysteries And Marvels, Uncovering Mind-Blowing Facts With Help From His Lab Buddies."
S2170,Movie,Sam Jay: 3 In The Morning,Kristian Mercado,Sam Jay,United States,"August 4, 2020",2020,Tv-Ma,64 Min,Stand-Up Comedy,"Comedian And ""Saturday Night Live"" Writer Sam Jay Serves Up Fresh Takes On Relationships, Travel Nightmares, The Audacity Of White People And More."
S2171,Tv Show,Immigration Nation,,,United States,"August 3, 2020",2020,Tv-Ma,1 Season,Docuseries,"With Unprecedented Access To Ice Operations, As Well As Moving Portraits Of Immigrants, This Docuseries Takes A Deep Look At Us Immigration Today."
S2172,Movie,Almost Love,Mike Doyle,"Scott Evans, Augustus Prew, Kate Walsh, Michelle Buteau, Zoë Chao, Patricia Clarkson, Colin Donnell, Christopher Gray",United States,"August 2, 2020",2020,Tv-Ma,92 Min,"Comedies, Dramas, Independent Movies",A Close Crew Of Striving New Yorkers Experiences Both Joy And Heartache In Their Romantic And Professional Lives.
S2173,Movie,Killing Hasselhoff,Darren Grant,"Ken Jeong, David Hasselhoff, Jim Jefferies, Jon Lovitz, Rhys Darby, Dan Bakkedahl, Jennifer Ikeda, Will Sasso, Colton Dunn",United States,"August 1, 2020",2017,R,80 Min,Comedies,"In Major Debt To A Loan Shark, A Nightclub Owner Who's Entered In A Celebrity Death Pool Tries To Murder A Famous Figure For Half A Million Dollars."
S2174,Tv Show,Moesha,,"Brandy Norwood, William Allen Young, Sheryl Lee Ralph, Countess Vaughn, Lamont Bentley, Shar Jackson, Marcus T. Paulk, Yvette Wilson",United States,"August 1, 2020",2000,Tv-Pg,6 Seasons,"Tv Comedies, Teen Tv Shows","Navigating The Twists And Firsts Of High School, Moesha Juggles Friendships, Romance And The Occasional Drama While Trying To Keep Her Family Together."
S2175,Tv Show,My Perfect Landing,,"Morgan Wigle, Tom Hulshof, Helena Marie, Shawn Thompson, Natasha Zaborski, Ajanae Stephenson, Francesca Van Keekan, Jordan Clark",Canada,"August 1, 2020",2020,Tv-G,1 Season,Kids' Tv,Everything Changes For Talented Young Gymnast Jenny Cortez When She Moves With Her Family From Miami To Toronto To Open A New Gymnastics Club.
S2176,Tv Show,Nagi-Asu: A Lull In The Sea,,"Natsuki Hanae, Kana Hanazawa, Ai Kayano, Ryota Osaka, Kaito Ishikawa, Mikako Komatsu, Kaori Ishihara, Kaori Nazuka, Masuo Amada, Junji Majima, Motomu Kiyokawa, Kohsuke Toriumi",Japan,"August 1, 2020",2014,Tv-14,1 Season,"Anime Series, Romantic Tv Shows, Teen Tv Shows","In A World Where Humans Are Divided Between The Land And The Sea, Four Childhood Friends From The Ocean Must Attend Middle School On The Surface."
S2177,Movie,Rogue Warfare: The Hunt,Mike Gunther,"Will Yun Lee, Jermaine Love, Rory Markham, Bertrand-Xavier Corbi, Katie Keene, Fernando Chien, Gina Decesare, Michael Blalock, Chris Mulkey, Stephen Lang",United States,"August 1, 2020",2020,R,104 Min,Action & Adventure,"When Their Leader Is Captured By An Extremist Organization, A Special Forces Team Stages A Perilous Rescue Mission As Time Runs Out."
S2178,Movie,Super Monsters: The New Class,Steve Ball,"Elyse Maloway, Vincent Tong, Erin Mathews, Andrea Libman, Alessandro Juliani, Nicole Anthony, Diana Kaarina, Gigi Saul Guerrero, Asia Mattu, Rukiya Bernard, Elicia Mackenzie, Ian James Corlett, Britt Mckillip",Canada,"August 1, 2020",2020,Tv-Y,25 Min,Children & Family Movies,"A New Class Of Pint-Sized Preschoolers Arrives At Pitchfork Pines, And The Super Monsters Take Their Superpowers To The Next Level — The Purple Room!"
S2179,Tv Show,The Next Step,,"Shamier Anderson, Victoria Baldesarra, Alexandra Beaton, Jordan Clark, Brennan Clost, Samantha Grecchi, Lamar Johnson, Isaac Lupien, Trevor Tordjman, Brittany Raymond, Bree Wasylenko, Jennifer Pappas, Tamina Pollack-Paris, Logan Fabbro, Megan Mackenzie, Alex Beaton, Natalie Krill",Canada,"August 1, 2020",2018,Tv-G,1 Season,"Kids' Tv, Reality Tv, Tv Dramas",This Drama Series Follows Young Dancers At The Next Step Dance Studio As They Attempt To Win The Coveted Regional Dance Championships.
S2180,Movie,The Ottoman Lieutenant,Joseph Ruben,"Michiel Huisman, Hera Hilmar, Josh Hartnett, Ben Kingsley, Haluk Bilginer, Affif Ben Badra, Paul Barrett, Jessica Turner","Turkey, United States","August 1, 2020",2017,R,111 Min,"Dramas, Romantic Movies","As World War I Looms, An American Nurse Travels To The Ottoman Empire On A Medical Mission, Where She Clashes With A Dashing Lieutenant."
S2181,Tv Show,Toradora!,,"Rie Kugimiya, Junji Majima, Yui Horie, Hirofumi Nojima, Eri Kitamura, Sayaka Ohara, Ai Nonaka, Momoko Ishikawa, Hiroyuki Yoshino, Kazuyuki Okitsu, Rie Tanaka, Yuhko Kaida, Saori Goto",Japan,"August 1, 2020",2008,Tv-14,1 Season,"Anime Series, International Tv Shows, Romantic Tv Shows","Menacing In Appearance But Gentle At Heart, Ryūji Forms An Unlikely Friendship With Taiga, A Tiny Girl With A Sharp Tongue And A Tough Attitude."
S2182,Tv Show,Transformers Rescue Bots Academy,,"Adam Andrianopolous, Pierce Cravens, Xander Crowell, Paul Guyet, Michael Hansen, Mason Hensley, Courtney Shaw, Alan Trinca, Keyon Williams, Andy Zou",United States,"August 1, 2020",2020,Tv-Y,2 Seasons,Kids' Tv,"As Part Of The First Class At The Rescue Bots Academy, Five Cybertron Recruits Train Under Their Skilled Teachers And Take On Daring Rescue Missions."
S2183,Movie,Tumi Or Not Tumi,Mfanelo Ngoma,Tumi Morake,,"August 1, 2020",2020,Tv-Ma,72 Min,Stand-Up Comedy,"Tumi Morake Dishes Out Hot Takes And Fiery Commentary About The Concept Of Identity, Politics, Family Life, Weaves, And More In This Stand-Up Special."
S2184,Movie,What Keeps You Alive,Colin Minihan,"Hannah Emily Anderson, Brittany Allen, Martha Macisaac, Joey Klein, Charlotte Lindsay Marron",Canada,"August 1, 2020",2018,R,99 Min,"Lgbtq Movies, Thrillers",A Couple's Romantic Anniversary Retreat To A Rural Cabin Unravels When A Childhood Friend Appears And Reveals Long-Held Secrets From The Past.
S2185,Tv Show,Get Even,,"Kim Adis, Mia Mckenna-Bruce, Bethany Antonia, Jessica Alexander",United Kingdom,"July 31, 2020",2020,Tv-Pg,1 Season,"British Tv Shows, Crime Tv Shows, International Tv Shows","In A Secret Act Of Skillful Revenge, Four Private School Classmates Team Up And Work Together To Expose A String Of Schoolwide Injustices."
S2186,Movie,Latte And The Magic Waterstone,"Regina Welker, Nina Wels","Ashley Bornancin, Carter Hastings",Germany,"July 31, 2020",2020,Tv-Y,83 Min,"Children & Family Movies, Comedies","When A Greedy Bear Steals A Magic Stone To Keep The Forest’s Water For Himself, A Brave Hedgehog And A Timid Squirrel Must Work Together To Retrieve It."
S2187,Movie,Raat Akeli Hai,Honey Trehan,"Nawazuddin Siddiqui, Radhika Apte, Khalid Tyabji, Aditya Srivastava, Padmavati Rao, Shivani Raghuvanshi, Nishant Dahiya, Shweta Tripathi, Gyanendra Tripathi, Shreedhar Dubey, Swanand Kirkire, Riya Shukla, Tigmanshu Dhulia, Ila Arun, Natasha Rastogi",India,"July 31, 2020",2020,Tv-Ma,150 Min,"Dramas, International Movies, Thrillers","When A Newly Married Landlord Is Murdered, A Misfit Cop’s Investigation Is Complicated By The Victim’s Secretive Family And His Own Conflicted Heart."
S2188,Movie,Seriously Single,"Katleho Ramaphakela, Rethabile Ramaphakela","Fulu Mugovhani, Tumi Morake, Bohang Moeko, Yonda Thomas",South Africa,"July 31, 2020",2020,Tv-Ma,108 Min,"Comedies, International Movies, Romantic Movies","While Her Free-Living Bestie Urges Her To Embrace Singlehood, A Commitment-Craving Social Media Expert Can't Stop Following The Life Of A Former Love."
S2189,Movie,Sugar High,Ariel Boles,Hunter March,United States,"July 31, 2020",2020,Tv-G,44 Min,Children & Family Movies,"Talented Sugar Artists Compete For $10,000 Over Two Rounds Of Competition — Candy And Sugar Sculpture — In This ""Sugar Rush"" Spinoff Special."
S2190,Tv Show,Sugar Rush,,"Candace Nelson, Adriano Zumbo, Hunter March",United States,"July 31, 2020",2020,Tv-Pg,3 Seasons,Reality Tv,Time's The Most Important Ingredient As Teams Race Against The Clock – And Each Other – To Bake Up The Best-Tasting Sweets.
S2191,Tv Show,The Umbrella Academy,,,"United States, Canada","July 31, 2020",2020,Tv-14,2 Seasons,"Tv Action & Adventure, Tv Mysteries, Tv Sci-Fi & Fantasy","Reunited By Their Father's Death, Estranged Siblings With Extraordinary Powers Uncover Shocking Family Secrets – And A Looming Threat To Humanity."
S2192,Movie,Retablo,Álvaro Delgado-Aparicio L.,"Junior Béjar Roca, Amiel Cayo, Magaly Solier, Hermelinda Luján, Mauro Chuchón, Claudia Solís, Coco Chiarella","Peru, Germany, Norway","July 30, 2020",2017,Tv-Ma,102 Min,"Dramas, International Movies","High In The Andes, A Teenage Boy And His Father Work Together As Artisans. But Their Bond Is Shattered When The Son Learns Of His Father's Secret Life."
S2193,Tv Show,Transformers: War For Cybertron Trilogy,,"Jake Foushee, Jason Marnocha, Linsay Rousseau, Joe Zieja, Frank Todaro, Bill Rogers, Keith Silverstein, Edward Bosco",United States,"July 30, 2020",2020,Tv-Y7,1 Season,Anime Series,"As The Autobots And Decepticons Ravage Their Planet In A Brutal Civil War, Two Iconic Leaders Emerge In The Transformers Universe's Origin Story."
S2194,Movie,Uma Maheswara Ugra Roopasya,Venkatesh Maha,"Satya Dev, Vk Naresh, Raghavan, Suhas P, Ravindra Vijay, Chandana Koppisetti, Roopa Koduvayur, Kushalini Pulapa",India,"July 30, 2020",2020,Tv-Ma,137 Min,"Comedies, Dramas, Independent Movies","Defeated And Humiliated In A Fight While Trying To Defuse A Conflict Among His Fellow Villagers, A Photographer Vows Revenge On His Attacker."
S2195,Tv Show,Unlucky Ploy,Nopparoj Chotmunkongsit,"Anusorn Maneethet, Atsadaporn Siriwattanakul, Waratthaya Wongchayaporn, Thanawetch Siriwattanakul, Pokchat Thiamchai, Phichikorn Ployphimana, Supachai Suwanon, Daraneenuch Pasutanavin, Kittiphong Dumavibhat, Aphiradi Phawaphutanon, Attharut Krongrasri, Ronnawee Sereerat, Lita Janvarapa, Sitang Punnapob, Yani Tramod",,"July 30, 2020",2020,Tv-Ma,1 Season,"International Tv Shows, Romantic Tv Shows, Tv Comedies","In This Remake Of The Korean Series, A Man Becomes Mired In The Lives Of Two Women Who Happen To Share The Same Name."
S2196,Movie,It's Her Day,Aniedi Anwah,"Bovi Ugboma, Amanda Ebeye, Shaffy Bello, Adunni Ade, Ini Dima-Okojie, 'Najite Dede, Gregory Ojefua, Thelma Ezeamaka, Femi Durojaiye, Ese Lami George, Toni Tones",Nigeria,"July 29, 2020",2016,Tv-Ma,112 Min,"Comedies, International Movies, Romantic Movies","After A Man Promises His Fiancé A Dream Wedding, He Must Keep Up With Her Outrageous Requests To Have The Most Lavish Ceremony Possible."
S2197,Movie,Redemption,Mickey Fonseca,"Gil Alexandre, Arlete Bombe, Rashid Abdul, Laquino Fonseca, Tomas Bie, Candido Quembo, Jorge Amade, Aldovina Chiziane",Mozambique,"July 29, 2020",2019,Tv-Ma,102 Min,"Dramas, International Movies, Thrillers","Newly Released From Prison, A Man Returning To His Girlfriend And Their Child Subsequently Learns About A Dangerous Debt Taken By His Late Mother."
S2198,Movie,Shine Your Eyes,Matias Mariani,"O.C. Ukeje, Indira Nascimento, Paulo André, Ike Barry, Chukwudi Iwuji","Brazil, France","July 29, 2020",2020,Tv-Ma,103 Min,"Dramas, Independent Movies, International Movies","A Nigerian Musician Travels To Brazil To Search For His Estranged Brother, Who Is Living A Life Very Different Than The One His Family Thought."
S2199,Movie,The Hater,Jan Komasa,"Maciej Musiałowski, Agata Kulesza, Danuta Stenka, Vanessa Aleksander, Maciej Stuhr, Jacek Koman, Adam Gradowski, Piotr Biedron, Martynika Kosnica",Poland,"July 29, 2020",2020,Tv-Ma,136 Min,"Dramas, International Movies, Thrillers",A Duplicitous Young Man Finds Success In The Dark World Of Social Media Smear Tactics — But His Virtual Vitriol Soon Has Violent Real-Life Consequences.
S2200,Movie,The Speed Cubers,Sue Kim,,United States,"July 29, 2020",2020,Tv-Pg,41 Min,Documentaries,This Documentary Captures The Extraordinary Twists And Turns In The Journeys Of Rubik's Cube-Solving Champions Max Park And Feliks Zemdegs.
S2201,Movie,Tread,Paul Solet,,United States,"July 29, 2020",2019,Tv-Ma,88 Min,Documentaries,This Documentary Reconstructs The Pivotal Moments That Drove A Man On A Rampage To Destroy A Small Town With A Bulldozer He Fortified In Secret.
S2202,Tv Show,Last Chance U,,"John Franklin Iii, Dj Law, Buddy Stephens, Brittany Wagner, Ronald Ollie",United States,"July 28, 2020",2020,Tv-Ma,5 Seasons,Docuseries,"In A Docuseries Set At One Of Ncaa Football's Most Fertile Recruiting Grounds, Guys With Red Flags Seek To Prove Their Worth On The Field And In Class."
S2203,Movie,Banana Split,Ben Kasulke,"Hannah Marks, Liana Liberato, Dylan Sprouse, Luke Spencer Roberts, Jessica Hecht, Addison Riecke, Meagan Kimberly Smith, Haley Ramm",United States,"July 26, 2020",2020,Tv-Ma,84 Min,"Comedies, Dramas, Independent Movies","Despite Leaving For College, A Heartsick Teen Tries To Build A New Friendship With A Kindred Spirit Even Though She's Dating Her Ex-Boyfriend."
S2204,Tv Show,Shameless (U.S.),,"William H. Macy, Emmy Rossum, Justin Chatwin, Cameron Monaghan, Jeremy Allen White, Shanola Hampton, Steve Howey, Ethan Cutkosky, Emma Kenney, Laura Wiggins, Joan Cusack",United States,"July 26, 2020",2019,Tv-Ma,10 Seasons,"Tv Comedies, Tv Dramas",This Dramedy Based On A British Series Centers On Siblings In A Dysfunctional Chicago Family Who Struggle While Coping With Their Alcoholic Father.
S2205,Movie,Door Ke Darshan,Gagan Puri,"Dolly Ahluwalia, Manu Rishi Chadha, Mahie Gill, Shardul Rana, Archita Sharma, Rajesh Sharma, Supriya Shukla, Mehak Manwani",India,"July 25, 2020",2020,Tv-14,114 Min,"Comedies, International Movies","When A Matriarch Wakes From A 30-Year Coma, Her Wacky Family Frantically Recreates A Bygone Era To Keep Her From Noticing How Much Time Has Passed."
S2206,Movie,Double World,Teddy Chan,"Henry Lau, Peter Ho, Lin Chenhan, Jiang Luxia, Ming Hu, Him Law, Shi Shi, Mark Cheng, Wang Ziyi, Xu Minghu",China,"July 25, 2020",2020,Tv-14,110 Min,"Action & Adventure, International Movies","Keen To Bring Honor To His Clan, Young Villager Dong Yilong Embarks On A Perilous Journey To Compete In A Tournament That Selects Warriors For Battle."
S2207,Movie,Project Marathwada,Bhavin Wadia,"Om Puri, Seema Biswas, Kunal Sheth, Rahul Patel, Katarina Kajkus, Farrah Kader, Govind Namdeo, Dalip Tahil",India,"July 25, 2020",2016,Tv-Ma,103 Min,"Dramas, Independent Movies, International Movies","After His Son’s Suicide, A Debt-Ridden Farmer Seeks Justice From The Government. But As His Pleas Are Mocked And Rebuffed, His Own Will To Live Erodes."
S2208,Movie,Animal Crackers,"Tony Bancroft, Scott Christian Sava","Emily Blunt, John Krasinski, Ian Mckellen, Danny Devito, Raven-Symoné, Patrick Warburton, Wallace Shawn, Gilbert Gottfried, Tara Strong, Harvey Fierstein, James Arnold Taylor, Kevin Grevioux, Sylvester Stallone, Lydia Rose Taylor","China, Spain, South Korea, United States","July 24, 2020",2020,Tv-Y7,106 Min,"Children & Family Movies, Comedies","Enchanted Animal Crackers Turn Owen Into Whatever Shape He Eats! But To Save The Family Circus, He'll Have To Keep Them Out Of His Evil Uncle's Hands."
S2209,Movie,Dragons: Rescue Riders: Secrets Of The Songwing,"Greg Rankin, Tj Sullivan","Noah Kaye Bentley, Brennley Brown, Zach Callison, Nicolas Cantu, Skai Jackson, Marsai Martin, Andre Robinson, Carlos Alazraqui, Renée Elise Goldsberry",United States,"July 24, 2020",2020,Tv-Y,46 Min,"Children & Family Movies, Comedies","When A Musical Dragon With A Beautiful Voice Hypnotizes The Dragons And People Of Huttsgalor, The Rescue Riders Have To Find A Way To Break The Spell."
S2210,Movie,Nimbe,Tope Alake,"Odunlade Adekola, Chimezie Imo, Sani Danja, Rachael Okonkwo, Broda Shaggi, Toyin Abraham, Kelechi Udegbe, Doyin Abiola, Molawa Davis",Nigeria,"July 24, 2020",2019,Tv-Ma,115 Min,"Dramas, International Movies",A Bullied Teenager Gravitates Toward The Acceptance He Finds In A Street Gang But Soon Ends Up Involved In A World Of Drug Abuse And Organized Crime.
S2211,Movie,Offering To The Storm,Fernando González Molina,"Marta Etura, Leonardo Sbaraglia, Carlos Librado ""Nene"", Francesc Orella, Imanol Arias, Álvaro Cervantes, Itziar Aizpuru, Benn Northover, Marta Larralde, Alicia Sánchez, Eduardo Rosa, Angel Alkain, Ana Wagener, Paco Tous, Patricia López Arnaiz, Pedro Casablanc","Spain, Germany","July 24, 2020",2020,Tv-Ma,140 Min,"International Movies, Thrillers","Amaia Investigates Several Suspicious Infant Deaths And Horrific Rituals. Meanwhile, People Around Her Risk Grave Danger. Part 3 In The Baztan Trilogy."
S2212,Movie,Romance Doll,Yuki Tanada,"Issey Takahashi, Yuu Aoi, Kenta Hamano, Toko Miura, Koji Ohkura, Pierre Taki, Eri Watanabe, Kitaro",Japan,"July 24, 2020",2020,Tv-Ma,124 Min,"Dramas, International Movies, Romantic Movies","Love Came Naturally For Married Couple Sonoko And Tetsuo. But His Secret Profession As A Love Doll Designer Clashes With Her Deeper, Darker Secret."
S2213,Tv Show,Sing On! Spain,,Ricky Merino,Spain,"July 24, 2020",2020,Tv-G,1 Season,"International Tv Shows, Reality Tv, Spanish-Language Tv Shows","In This Fast-Paced, High-Energy Karaoke Competition, Singers From All Walks Of Life Battle It Out For Up To 30,000 Euros!"
S2214,Movie,The Kissing Booth 2,Vince Marcello,"Joey King, Joel Courtney, Jacob Elordi, Molly Ringwald, Taylor Zakhar Perez, Maisie Richardson-Sellers, Meganne Young","United Kingdom, United States","July 24, 2020",2020,Tv-14,133 Min,"Comedies, Romantic Movies","With College Decisions Looming, Elle Juggles Her Long-Distance Romance With Noah, Changing Relationship With Bestie Lee And Feelings For A New Classmate."
S2215,Tv Show,Sinatra: All Or Nothing At All,Alex Gibney,,United States,"July 23, 2020",2015,Tv-14,1 Season,Docuseries,"Legendary Crooner Frank Sinatra's Life And Talent Are Captured In This Documentary Series Featuring Fond Memories From Friends, Family And Colleagues."
S2216,Movie,The Larva Island Movie,Ahn Byoung-Wook,"Hong Bum-Ki, Eddy Lee, Kang Shi-Hyun, Ahn Hyo-Min, Kim Yeon-Woo, Choi Nak-Yoon, Tom Wayland, Erica Schroeder",South Korea,"July 23, 2020",2020,Tv-Y7,91 Min,"Children & Family Movies, Comedies","In This Movie Sequel To The Hit Series, Chuck Returns Home And Talks To A Reporter About Life On The Island With Zany Larva Pals Red And Yellow."
S2217,Movie,The Letter Reader,Sibusiso Khuzwayo,"Bahle Mashinini, Nomalanga Shabane, Andile Gumbi, Nokuthula Mazibuko",South Africa,"July 23, 2020",2019,Tv-Pg,30 Min,"Dramas, International Movies",A Young Boy From Johannesburg Arrives In Kwazulu-Natal And Begins To Read Letters For Villagers — Then Falls In Love With One Of The Recipients.
S2218,Tv Show,Fear City: New York Vs The Mafia,,,United States,"July 22, 2020",2020,Tv-Ma,1 Season,"Crime Tv Shows, Docuseries","Five Mafia Families Ruled New York With A Bloody Fist In The 1970s And '80s, Until A Group Of Federal Agents Tried The Unthinkable: Taking Them Down."
S2219,Tv Show,Norsemen,,"Kåre Conradi, Silje Torp, Nils Jørgen Kaalstad, Marian Saastad Ottesen, Trond Fausa, Kristine Riis, Jon Øigarden, Henrik Mestad, Øystein Martinsen, Mikkel Bratt Silset, Mads Jørgensen, Nikis Theophilakis",Norway,"July 22, 2020",2020,Tv-Ma,3 Seasons,"International Tv Shows, Tv Comedies","The Residents Of An 8th-Century Viking Village Experience Political Rivalry, Social Change And Innovations That Upend Their Culture And Way Of Life."
S2220,Movie,The Remix: Hip Hop X Fashion,"Lisa Cortés, Farah X",,United States,"July 22, 2020",2019,Tv-Ma,67 Min,"Documentaries, Music & Musicals",This Documentary Profiles Black Visionaries In Fashion Who Rewrote Narratives On The Runway And Turned Hip-Hop Style Into A Global Phenomenon.
S2221,Movie,Ip Man 4: The Finale,Wilson Yip,"Donnie Yen, Wu Yue, Vanness Wu, Scott Adkins, Kent Cheng, Danny Chan Kwok-Kwan, Kanin Ngo, Chris Collins, Vanda Margraf, Meng Lo","Hong Kong, China","July 21, 2020",2019,Tv-Ma,105 Min,"Action & Adventure, Dramas, International Movies","Ip Man Travels To San Francisco With His Son And Wrestles With Tensions Between Martial Arts Masters And His Star Student, Bruce Lee."
S2222,Movie,Jack Whitehall: I'm Only Joking,"Dave Skinner, Freddie Waters",Jack Whitehall,United Kingdom,"July 21, 2020",2020,Tv-Ma,58 Min,Stand-Up Comedy,"Jack Whitehall Hits The Stage With Hilarious Tales About Happy Couples, Life In Hotels, Human Stupidity And His Well-Traveled Father."
S2223,Tv Show,Street Food: Latin America,,,,"July 21, 2020",2020,Tv-Pg,1 Season,"Docuseries, Spanish-Language Tv Shows","In This Vibrant Docuseries, Latin American Chefs Tell Their Stories And Bring A Taste Of Tradition And Innovation To Their Delicious Offerings."
S2224,Tv Show,Killer Women With Piers Morgan,,Piers Morgan,United Kingdom,"July 19, 2020",2017,Tv-Ma,1 Season,"British Tv Shows, Crime Tv Shows, Docuseries","Journalist Piers Morgan Goes Behind Prison Walls To Speak With Women Convicted Of Shocking Crimes, Shedding Light On What Drove Them To Murder."
S2225,Movie,Funan,Denis Do,"Bérénice Bejo, Louis Garrel, Colette Kieffer, Aude-Laurence Clermont Biver, Brice Montagne, Franck Sasonoff, Hervé Sogne, Maxime Baudoin, Tom Trouffier, Lila Lacombe, Céline Ronté, Emilie Marié, Thierry Jahn","France, Belgium, Luxembourg, Cambodia,","July 18, 2020",2018,Tv-14,87 Min,"Dramas, International Movies","Separated From Their Young Son During The Brutal Khmer Rouge Revolution, A Couple Must Find Ways To Endure While Searching For Their Child."
S2226,Tv Show,Gigantosaurus,,,France,"July 18, 2020",2019,Tv-Y,1 Season,Kids' Tv,"Four Prehistoric Friends Go On An Array Of Adventures While Trying To Unravel A Mystery About A Big, Fierce Creature. Based On Jonny Duddle's Book."
S2227,Tv Show,Single Wives,,"Fifi Box, Matthew Hussey",Australia,"July 18, 2020",2018,Tv-Ma,1 Season,"Reality Tv, Romantic Tv Shows","Looking For A Second Chance At Love, Four Formerly Married Women Are Put In Various Romantic Situations Then Receive Feedback From A Dating Coach."
S2228,Tv Show,Cursed,,"Katherine Langford, Devon Terrell, Gustaf Skarsgård, Daniel Sharman, Sebastian Armesto, Lily Newmark, Shalom Brune-Franklin, Matt Stokoe, Bella Dayne, Peter Mullan, Emily Coates","United Kingdom, Australia","July 17, 2020",2020,Tv-Ma,1 Season,"Tv Action & Adventure, Tv Dramas, Tv Sci-Fi & Fantasy","Armed With Mysterious Powers And A Legendary Sword, Young Rebel Nimue Joins Forces With Charming Mercenary Arthur On A Mission To Save Her People."
S2229,Movie,Father Soldier Son,"Leslye Davis, Catrin Einhorn",,United States,"July 17, 2020",2020,R,100 Min,Documentaries,"After A Single Father Is Severely Wounded In Afghanistan, He And His Sons Embark On A Journey Of Sacrifice And A Search For Redemption."
S2230,Tv Show,In The Dark,,"Perry Mattfeld, Brooke Markham, Casey Deidrick, Keston John, Morgan Krantz, Rich Sommer, Thamela Mpumlwana, Saycon Sengbloh, Kathleen York, Derek Webster",United States,"July 17, 2020",2020,Tv-14,2 Seasons,"Crime Tv Shows, Tv Dramas",A Blind Woman With Vices Finds Herself In The Middle Of A Murder Investigation When Her Best Friend Turns Up Dead.
S2231,Tv Show,Kissing Game,,"Caio Horowicz, Iza Moreira, Michel Joelsas, Denise Fraga, Thomás Aquino, Luana Nastas, Esther Tinman, Kevin Vechiatto, Grace Passô, Bianca Byington, Bruno Garcia, Flávio Tolezani, Carolina Del Carmen Peleritti",Brazil,"July 17, 2020",2020,Tv-Ma,1 Season,"International Tv Shows, Tv Dramas, Tv Mysteries","At A High School In A Rural, Isolated Ranching Community, Families Panic When Teens Contract A Mysterious ""Kissing Disease"" That Quickly Spreads."
S2232,Movie,The Millions,"Toka Mcbaror, Tunde Apalowo","Ramsey Nouah, Blossom Chukwujekwu, Ayo Makun, Nancy Isime, Ali Nuhu, Folusho Durojaiye, Toyin Abraham, Chika Lann, Broda Shaggi, Etinosa Idemudia",Nigeria,"July 17, 2020",2019,Tv-Ma,95 Min,"Comedies, International Movies","To Pull Off A Massive Heist, A Charismatic Con Artist Attempts To Rob A Fortified Home With The Help Of A Team He Can't Completely Trust."
S2233,Movie,Fatal Affair,Peter Sullivan,"Nia Long, Omar Epps, Stephen Bishop, Maya Stojan, Aubrey Cleland, Carolyn Hennesy",United States,"July 16, 2020",2020,Tv-14,90 Min,Thrillers,A Lawyer Is Caught In A Terrifying Game Of Cat And Mouse When A Drink With An Old Friend Escalates Into An Obsession That Jeopardizes Everyone She Loves.
S2234,Movie,Milf,Axelle Laffont,"Virginie Ledoyen, Marie-Josée Croze, Axelle Laffont, Matthias Dandois, Victor Meutelet, Waël Sersoub, Florence Thomassin","France, Belgium","July 16, 2020",2018,Tv-Ma,102 Min,"Comedies, International Movies, Romantic Movies","In The South Of France, Three Best Friends In Their 40s Navigate Loss And Heartbreak While Embarking On Steamy Affairs With Much Younger Men."
S2235,Movie,Cold Feet,Moses Inwang,"Jim Iyke, Joselyn Dumas, Enyinna Nwigwe, Beverly Naya, Femi Adebayo, Segun Arinze, Padita Agu",Nigeria,"July 15, 2020",2019,Tv-14,98 Min,"Dramas, International Movies, Romantic Movies","At A Resort Getaway, The Fate Of Two Couples Collides When A Wife Unexpectedly Runs Into An Old Flame As He Hesitates To Propose To His Girlfriend."
